,id,fullname,born,unique_price_years,unique_price_categories,gender,country_name
116,119,Arthur L. Schawlow,1921-05-05,{'1981'},{'physics'},male,USA
117,120,Kai M. Siegbahn,1918-04-20,{'1981'},{'physics'},male,Sweden
118,121,Kenneth G. Wilson,1936-06-08,{'1982'},{'physics'},male,USA
119,122,Subramanyan Chandrasekhar,1910-10-19,{'1983'},{'physics'},male,Pakistan
120,123,William A. Fowler,1911-08-09,{'1983'},{'physics'},male,USA
121,124,Carlo Rubbia,1934-03-31,{'1984'},{'physics'},male,Tuscany
122,125,Simon van der Meer,1925-11-24,{'1984'},{'physics'},male,the Netherlands
123,126,Klaus von Klitzing,1943-06-28,{'1985'},{'physics'},male,Prussia
124,127,Ernst Ruska,1906-12-25,{'1986'},{'physics'},male,Württemberg
125,128,Gerd Binnig,1947-07-20,{'1986'},{'physics'},male,Württemberg
126,129,Heinrich Rohrer,1933-06-06,{'1986'},{'physics'},male,Switzerland
127,130,J. Georg Bednorz,1950-05-16,{'1987'},{'physics'},male,Württemberg
128,131,K. Alex Müller,1927-04-20,{'1987'},{'physics'},male,Switzerland
129,132,Leon M. Lederman,1922-07-15,{'1988'},{'physics'},male,USA
130,133,Melvin Schwartz,1932-11-02,{'1988'},{'physics'},male,USA
131,134,Jack Steinberger,1921-05-25,{'1988'},{'physics'},male,Württemberg
132,135,Norman F. Ramsey,1915-08-27,{'1989'},{'physics'},male,USA
133,136,Hans G. Dehmelt,1922-09-09,{'1989'},{'physics'},male,Württemberg
134,137,Wolfgang Paul,1913-08-10,{'1989'},{'physics'},male,Württemberg
135,138,Jerome I. Friedman,1930-03-28,{'1990'},{'physics'},male,USA
136,139,Henry W. Kendall,1926-12-09,{'1990'},{'physics'},male,USA
137,140,Richard E. Taylor,1929-11-02,{'1990'},{'physics'},male,Canada
138,141,Pierre-Gilles de Gennes,1932-10-24,{'1991'},{'physics'},male,France
139,142,Georges Charpak,1924-08-01,{'1992'},{'physics'},male,Prussia
140,143,Russell A. Hulse,1950-11-28,{'1993'},{'physics'},male,USA
141,144,Joseph H. Taylor Jr.,1941-03-29,{'1993'},{'physics'},male,USA
142,145,Bertram N. Brockhouse,1918-07-15,{'1994'},{'physics'},male,Canada
143,146,Clifford G. Shull,1915-09-23,{'1994'},{'physics'},male,USA
144,147,Martin L. Perl,1927-06-24,{'1995'},{'physics'},male,USA
145,148,Frederick Reines,1918-03-16,{'1995'},{'physics'},male,USA
146,149,David M. Lee,1931-01-20,{'1996'},{'physics'},male,USA
147,150,Douglas D. Osheroff,1945-08-01,{'1996'},{'physics'},male,USA
148,151,Robert C. Richardson,1937-06-26,{'1996'},{'physics'},male,USA
149,152,Steven Chu,1948-02-28,{'1997'},{'physics'},male,USA
150,153,Claude Cohen-Tannoudji,1933-04-01,{'1997'},{'physics'},male,French Algeria
151,154,William D. Phillips,1948-11-05,{'1997'},{'physics'},male,USA
152,155,Robert B. Laughlin,1950-11-01,{'1998'},{'physics'},male,USA
